@relation titanic

@attribute Class numeric
@attribute Age numeric
@attribute Sex numeric
@attribute class {-1,1}

@data
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,4.38,-1.92,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,-1
-1.87,-0.228,0.521,1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,4.38,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
0.0214,4.38,-1.92,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,-1.92,1
0.965,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
-0.923,4.38,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,4.38,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.0214,4.38,-1.92,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,-1
0.0214,4.38,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-0.923,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-1.87,-0.228,0.521,1
-1.87,-0.228,0.521,1
-0.923,4.38,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
-0.923,4.38,-1.92,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.0214,4.38,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-0.923,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,4.38,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,4.38,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
